Queries,Success_Probability
0.0,0.05
0.0,0.1
1.0,0.15
2.0,0.2
2.0,0.25
2.0,0.3
3.0,0.35
4.0,0.4
5.0,0.45
8.0,0.5
10.0,0.55
13.0,0.6
13.0,0.65
13.0,0.7
15.0,0.75
15.0,0.8
16.0,0.85
28.0,0.9
