Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.85,3.089902911096075,-0.85,3.089902911096075
1,-2.01,3.214016179175209,-0.99,3.497127392589523
2,-2.91,3.0564521916758323,-1.9,3.2526911934581184
3,-3.75,2.7436289836637897,-2.05,3.383415434143435
4,-4.24,2.6781336785156946,-2.0,3.2326459750489227
5,-4.84,2.5854206620973663,-2.46,3.8207852596030563
6,-5.21,2.3592159714617056,-2.29,3.606369365442202
7,-5.55,2.210769096943413,-2.47,3.6809102135205642
8,-5.66,2.143455154651014,-2.28,3.537174013248429
9,-5.8,1.941648783894761,-2.31,3.54314831752779
10,-5.95,1.6147755261955155,-2.23,3.5294617153328063
11,-6.06,1.4786480311419627,-2.14,3.7430468872297076
12,-6.09,1.3718236038208418,-2.08,3.8188479938326934
13,-6.23,1.1389029809426272,-2.21,3.6723153459364015
14,-6.31,0.7442445834535849,-2.36,3.4205847453322957
15,-6.32,0.7124605252222747,-2.35,3.2783379935570993
16,-6.45,0.35707142142714254,-2.71,3.356471361415139
17,-6.47,0.298496231131986,-3.09,3.7097034921944902
18,-6.47,0.298496231131986,-2.33,3.549802811424883
19,-6.5,0.0,-2.35,3.3745370052793895
20,-6.5,0.0,-2.31,3.4196344833914654
