Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,0.4,1.7435595774162693,0.4,1.7435595774162693
1,-1.2,2.2271057451320084,-1.0,2.569046515733026
2,-1.8,2.2715633383201097,0.4,2.8000000000000003
3,-2.0,2.3664319132398464,0.8,2.5612496949731396
4,-2.4,2.4979991993593598,0.0,2.9664793948382653
5,-2.4,2.4979991993593598,2.0,2.5298221281347035
6,-2.6,2.3748684174075834,1.8,2.2715633383201093
7,-2.6,2.3748684174075834,0.0,2.8284271247461903
8,-2.8,2.4,1.6,2.6532998322843193
9,-3.4,1.2806248474865696,0.4,2.8000000000000003
10,-3.6,1.2000000000000002,-0.4,3.440930106817051
11,-3.8,0.6,0.8,3.2496153618543846
12,-4.0,0.0,0.6,3.583294573433783
13,-4.0,0.0,1.0,3.1304951684997055
14,-4.0,0.0,-0.4,2.3323807579381204
15,-4.0,0.0,0.8,3.249615361854384
16,-4.0,0.0,0.6,2.5377155080899043
