Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.24,1.3937001112147476,-0.24,1.3937001112147476
1,-0.92,1.3090454537562857,0.2,1.754992877478425
2,-1.44,1.0229369482035533,-0.08,1.8093092604637822
3,-1.68,0.8352245207128453,0.04,1.7884071124886516
4,-1.88,0.4749736834815168,-0.36,1.752255689104761
5,-1.96,0.27999999999999975,-0.2,1.685229954635272
6,-1.96,0.27999999999999975,-0.14,1.772117377602286
7,-1.98,0.1989974874213239,-0.44,1.7106723824274488
8,-1.98,0.1989974874213239,-0.56,1.6267759526130203
9,-2.0,0.0,-0.68,1.5548633380461454
10,-2.0,0.0,-0.48,1.6761861471805564
11,-2.0,0.0,-0.78,1.5203946855997628
12,-2.0,0.0,-0.6,1.6124515496597103
13,-2.0,0.0,-0.76,1.5692036196746422
14,-2.0,0.0,-0.28,1.766805026028622
15,-2.0,0.0,-0.26,1.6162920528171887
16,-2.0,0.0,-0.54,1.6457217261736565
