Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-1.0,1.8439088914585775,-1.0,1.8439088914585775
1,-1.2,2.039607805437114,-0.4,2.65329983228432
2,-1.2,2.039607805437114,0.2,1.661324772583615
3,-1.8,2.2715633383201093,0.4,3.0724582991474434
4,-2.0,2.3664319132398464,0.0,3.0983866769659336
5,-2.4,2.1540659228538015,-1.2,2.2271057451320084
6,-3.0,1.61245154965971,1.0,3.714835124201342
7,-3.2,1.6,0.0,2.3664319132398464
8,-3.2,1.6,-0.2,3.1559467676119
9,-3.2,1.6,0.8,2.993325909419153
10,-3.2,1.6,0.8,2.5612496949731396
11,-3.4,1.2806248474865698,-1.0,3.3763886032268267
12,-3.4,1.2806248474865698,0.2,2.891366458960192
13,-3.4,1.2806248474865698,0.6,2.537715508089904
14,-3.8,0.6,-1.0,2.8635642126552705
15,-3.8,0.6,-0.8,2.4
16,-4.0,0.0,-2.2,2.0880613017821097
