Queries,Success_Probability
0.0,0.05
0.0,0.1
1.0,0.15
1.0,0.2
1.0,0.25
1.0,0.3
2.0,0.35
2.0,0.4
3.0,0.45
3.0,0.5
6.0,0.55
7.0,0.6
10.0,0.65
15.0,0.7
15.0,0.75
18.0,0.8
