Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.6,2.2,-0.6,2.2
1,-1.5,2.2693611435820435,0.2,3.026549190084311
2,-2.2,1.8867962264113207,-0.1,2.861817604250837
3,-2.5,1.8841443681416772,0.0,2.6076809620810595
4,-2.5,1.8841443681416772,0.4,2.8000000000000003
5,-2.5,1.8841443681416772,0.6,2.009975124224178
6,-2.6,1.9078784028338907,0.5,2.6739483914241875
7,-2.8,1.9390719429665313,-0.1,2.718455443813637
8,-2.8,1.9390719429665313,-0.3,2.776688675382964
9,-3.1,1.4798648586948744,0.0,2.8284271247461903
10,-3.3,1.14455231422596,-0.2,2.6000000000000005
11,-3.5,0.8660254037844386,-1.4,2.1071307505705477
12,-3.5,0.8660254037844386,-2.1,1.729161646579058
13,-3.6,0.8,-1.3,3.179622619116929
14,-3.6,0.8,-2.0,2.0
15,-3.6,0.8,-2.9,1.9467922333931784
16,-3.6,0.8,-2.7,1.8193405398660252
17,-3.6,0.8,-2.1,2.7184554438136375
18,-3.6,0.8,-2.3,2.5514701644346145
19,-3.6,0.8,-3.0,1.9493588689617927
20,-3.6,0.8,-3.0,1.61245154965971
21,-3.6,0.8,-3.0,1.9493588689617927
22,-3.6,0.8,-3.1,1.6093476939431084
23,-3.6,0.8,-3.4,1.1135528725660042
24,-3.6,0.8,-3.5,0.8660254037844386
25,-3.6,0.8,-3.6,0.8
26,-3.6,0.8,-3.6,0.8
27,-3.6,0.8,-3.6,0.8
28,-3.6,0.8,-3.6,0.8
29,-3.6,0.8,-3.6,0.8
30,-3.6,0.8,-3.6,0.8
