Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.4,1.2000000000000002,-0.4,1.2000000000000002
1,-0.4,1.2000000000000002,2.0,2.0
2,-1.2,1.8330302779823362,1.4,2.973213749463701
3,-1.6,1.4966629547095767,1.8,2.08806130178211
4,-1.6,1.4966629547095767,2.2,1.6613247725836149
5,-1.8,1.661324772583615,2.4,2.4979991993593593
6,-2.6,1.2806248474865698,1.6,3.0724582991474434
7,-2.8,1.32664991614216,1.0,2.7202941017470885
8,-2.8,1.32664991614216,3.6,0.8000000000000002
9,-3.4,0.9165151389911681,1.2,3.1240998703626617
10,-3.4,0.9165151389911681,2.6,2.835489375751565
11,-3.4,0.9165151389911681,1.6,2.65329983228432
12,-3.6,0.8000000000000002,1.4,2.8354893757515653
13,-3.6,0.8000000000000002,2.4,2.4979991993593598
14,-3.6,0.8000000000000002,3.4,1.8
15,-3.6,0.8000000000000002,2.2,2.2715633383201097
16,-3.6,0.8000000000000002,2.4,2.4979991993593598
