Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.1,1.367479433117734,-0.1,1.367479433117734
1,-0.72,1.3717142559585804,0.08,1.6951696080333671
2,-1.16,1.1723480711802279,-0.16,1.6894969665554307
3,-1.44,0.98305645819556,0.0,1.7888543819998317
4,-1.54,0.8879189152169247,0.06,1.821098569545317
5,-1.66,0.7512655988397183,0.26,1.7356266879718119
6,-1.76,0.6499230723708772,-0.08,1.7870646322950938
7,-1.9,0.4358898943540678,-0.42,1.7503142574977781
8,-1.92,0.3919183588453081,0.18,1.675589448522519
9,-1.94,0.3411744421846399,-0.08,1.6951696080333674
10,-1.98,0.1989974874213239,-0.24,1.7499714283381878
11,-1.98,0.1989974874213239,0.26,1.7356266879718119
12,-1.98,0.1989974874213239,0.2,1.7549928774784247
13,-2.0,0.0,0.28,1.7209299811439156
14,-2.0,0.0,-0.24,1.79510445378535
15,-2.0,0.0,0.08,1.6714065932620947
16,-2.0,0.0,0.32,1.6424372134118235
