Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.4,2.0099751242241775,-0.4,2.0099751242241775
1,-1.0,2.0976176963403033,-0.1,2.4879710609249455
2,-1.0,2.0976176963403033,0.8,2.0880613017821106
3,-1.2,2.08806130178211,0.8,2.2715633383201097
4,-1.5,1.8841443681416772,0.3,2.3043437243605824
5,-1.9,1.4798648586948744,0.2,1.9390719429665315
6,-2.1,1.3379088160259653,-0.8,2.181742422927143
7,-2.2,1.32664991614216,-0.4,2.3748684174075834
8,-2.4,1.1135528725660044,0.5,1.8841443681416772
9,-2.4,1.1135528725660044,-0.6,2.3323807579381204
10,-2.5,1.0723805294763609,-1.3,1.9261360284258224
11,-2.7,0.9539392014169457,-1.2,2.08806130178211
12,-2.7,0.9539392014169457,-0.6,2.4979991993593593
13,-2.7,0.9539392014169457,-1.0,2.449489742783178
14,-2.8,0.8717797887081349,-1.1,2.406241883103193
15,-2.8,0.8717797887081349,-1.6,2.1999999999999993
16,-2.8,0.8717797887081349,-2.0,1.7320508075688772
17,-2.8,0.8717797887081349,-2.4,1.562049935181331
18,-2.8,0.8717797887081349,-1.7,1.9261360284258222
19,-2.8,0.8717797887081349,-2.0,1.8439088914585775
20,-2.8,0.8717797887081349,-2.1,1.9467922333931784
21,-2.8,0.8717797887081349,-2.1,1.841195263952197
22,-2.8,0.8717797887081349,-2.4,1.42828568570857
23,-2.8,0.8717797887081349,-2.5,1.5329709716755893
24,-2.8,0.8717797887081349,-2.7,0.9539392014169457
25,-2.8,0.8717797887081349,-2.7,0.9539392014169457
26,-2.8,0.8717797887081349,-2.8,0.8717797887081349
27,-2.8,0.8717797887081349,-2.8,0.8717797887081349
28,-2.8,0.8717797887081349,-2.8,0.8717797887081349
29,-2.8,0.8717797887081349,-2.8,0.8717797887081349
30,-2.8,0.8717797887081349,-2.8,0.8717797887081349
