Queries,Success_Probability
0.0,0.05
0.0,0.1
0.0,0.15
0.0,0.2
0.0,0.25
1.0,0.3
1.0,0.35
1.0,0.4
1.0,0.45
3.0,0.5
4.0,0.55
5.0,0.6
6.0,0.65
7.0,0.7
12.0,0.75
12.0,0.8
13.0,0.85
17.0,0.9
20.0,0.95
