Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,0.0,2.280350850198276,0.0,2.280350850198276
1,-1.0,1.9493588689617927,0.3,2.628687885618983
2,-1.4,2.2,-0.3,2.5514701644346145
3,-1.7,2.12367605815953,-0.1,2.718455443813637
4,-2.1,2.142428528562855,0.3,2.628687885618983
5,-2.5,1.6583123951777,-0.6,1.907878402833891
6,-2.6,1.6852299546352716,0.7,2.776688675382964
7,-2.6,1.6852299546352716,-0.4,2.1540659228538015
8,-2.8,1.32664991614216,-1.0,2.23606797749979
9,-3.0,1.3416407864998738,-0.4,2.4979991993593593
10,-3.4,1.1135528725660042,-1.4,2.2
11,-3.6,1.019803902718557,-0.5,3.024896692450835
12,-3.6,1.019803902718557,-0.5,2.7477263328068173
13,-3.6,1.019803902718557,-0.6,2.7640549922170514
14,-3.6,1.019803902718557,-0.6,2.90516780926679
15,-3.7,0.714142842854285,-1.6,2.8
16,-3.7,0.714142842854285,-2.4,2.3323807579381204
17,-3.7,0.714142842854285,-2.5,2.4392621835300936
18,-3.8,0.6,-3.0,2.04939015319192
19,-3.8,0.6,-2.1,2.791057147390573
20,-3.8,0.6,-1.5,3.0903074280724887
21,-3.8,0.6,-2.3,2.628687885618983
22,-3.8,0.6,-3.0,2.04939015319192
23,-3.8,0.6,-3.8,0.6
24,-3.8,0.6,-3.5,1.396424004376894
25,-3.8,0.6,-3.7,0.714142842854285
26,-3.8,0.6,-3.5,1.396424004376894
27,-3.8,0.6,-3.5,1.396424004376894
28,-3.8,0.6,-3.5,1.396424004376894
29,-3.8,0.6,-3.7,0.714142842854285
30,-3.8,0.6,-3.8,0.6
