Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,0.1,1.479864858694874,0.1,1.479864858694874
1,-1.2,1.32664991614216,-0.6,1.8000000000000003
2,-1.4,1.2806248474865696,-0.1,1.9467922333931782
3,-1.7,0.7141428428542849,-0.7,1.7058722109231979
4,-1.8,0.6000000000000001,-0.5,1.7748239349298849
5,-1.8,0.6000000000000001,-0.5,1.8841443681416772
6,-1.8,0.6000000000000001,-0.2,1.661324772583615
7,-1.9,0.43588989435406755,-0.5,1.6583123951777
8,-1.9,0.43588989435406755,1.5,1.0723805294763609
9,-1.9,0.43588989435406755,0.0,1.6733200530681511
10,-1.9,0.43588989435406755,0.4,1.624807680927192
11,-2.0,0.0,-0.4,1.624807680927192
12,-2.0,0.0,0.5,1.8841443681416772
13,-2.0,0.0,-1.3,1.4525839046333946
14,-2.0,0.0,-1.7,0.9539392014169457
15,-2.0,0.0,-1.6,1.2000000000000002
16,-2.0,0.0,-1.9,0.4358898943540675
17,-2.0,0.0,-1.7,0.9539392014169457
18,-2.0,0.0,-1.7,0.9539392014169457
19,-2.0,0.0,-2.0,0.0
20,-2.0,0.0,-2.0,0.0
21,-2.0,0.0,-2.0,0.0
22,-2.0,0.0,-2.0,0.0
23,-2.0,0.0,-2.0,0.0
24,-2.0,0.0,-2.0,0.0
25,-2.0,0.0,-2.0,0.0
26,-2.0,0.0,-2.0,0.0
27,-2.0,0.0,-2.0,0.0
28,-2.0,0.0,-2.0,0.0
29,-2.0,0.0,-2.0,0.0
30,-2.0,0.0,-2.0,0.0
