Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,0.04,1.3850631754544618,0.04,1.3850631754544618
1,-0.92,1.3392535234226566,0.08,1.787064632295094
2,-1.54,0.9318798205777401,-0.3,1.7291616465790571
3,-1.8,0.6633249580710796,-0.2,1.6852299546352727
4,-1.94,0.34117444218463994,-0.32,1.7825823964125749
5,-2.0,0.0,-0.08,1.7645396000090219
6,-2.0,0.0,-0.3,1.634013463836818
7,-2.0,0.0,-0.36,1.7292773056973836
8,-2.0,0.0,-0.68,1.6302147097851871
9,-2.0,0.0,-0.6,1.6370705543744908
10,-2.0,0.0,-0.08,1.7645396000090219
