Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,0.06,1.4270248771482577,0.06,1.4270248771482577
1,-0.84,1.3617635624439357,-0.08,1.7417232845661794
2,-1.22,1.1964948808916822,0.1,1.7972200755611438
3,-1.5,1.03440804327886,-0.12,1.8508376482014848
4,-1.64,0.8187795796183495,0.2,1.7776388834631183
5,-1.72,0.6939740629158986,-0.02,1.7775263711123948
6,-1.84,0.5425863986500217,0.1,1.8193405398660265
7,-1.88,0.47497368348151636,-0.28,1.7668050260286217
8,-1.96,0.27999999999999975,0.18,1.813174012608829
9,-1.96,0.27999999999999975,-0.02,1.708683703907777
10,-1.96,0.27999999999999975,0.26,1.758522106770342
