Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.92,1.9270703152713446,-0.92,1.9270703152713446
1,-1.56,2.201454064930722,-0.6,2.7202941017470885
2,-1.8,2.2360679774997902,0.0,2.3664319132398464
3,-2.16,2.1850400453996266,0.04,2.7853904573685897
4,-2.64,1.9365949499056334,-0.88,2.8888752136428457
5,-2.88,1.7045820602130013,-0.2,2.918903903865285
6,-3.12,1.5051910177781425,-0.44,2.9472699231661843
7,-3.4,1.3416407864998736,-0.64,2.9783216750378063
8,-3.6,1.1999999999999995,-0.36,3.1670806746908093
9,-3.68,1.1565465835840774,-0.16,3.015692291995323
10,-3.68,1.1565465835840774,0.64,3.057842376578624
11,-3.76,1.0307278981380104,-0.28,3.175153539594581
12,-3.76,1.0307278981380104,-0.16,3.2702293497551524
13,-3.76,1.0307278981380104,0.68,2.9287540012776763
14,-3.84,0.8799999999999998,-0.12,3.1852158482589523
15,-3.88,0.6209669878504009,0.04,2.7853904573685893
16,-3.96,0.27999999999999997,-0.8,2.8284271247461903
