Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.4,1.2000000000000002,-0.4,1.2000000000000002
1,-0.4,1.2000000000000002,2.4,1.9595917942265428
2,-1.4,1.8,1.2,3.124099870362662
3,-1.6,1.4966629547095764,1.8,1.661324772583615
4,-1.6,1.4966629547095764,2.4,1.9595917942265424
5,-1.6,1.4966629547095764,2.8,2.0396078054371136
6,-2.0,1.2649110640673518,1.8,2.6
7,-2.0,1.2649110640673518,1.8,2.4413111231467406
8,-2.0,1.2649110640673518,3.8,0.6
9,-2.0,1.2649110640673518,2.6,2.3748684174075834
10,-2.0,1.2649110640673518,3.0,1.8439088914585775
11,-2.0,1.2649110640673518,2.0,2.6832815729997477
12,-2.2,1.0770329614269007,2.4,2.4979991993593598
13,-2.2,1.0770329614269007,2.8,2.0396078054371136
14,-2.2,1.0770329614269007,3.4,1.2806248474865696
15,-2.6,0.9165151389911681,1.0,2.569046515733026
16,-2.6,0.9165151389911681,2.6,1.8
