Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,0.0,2.3664319132398464,0.0,2.3664319132398464
1,-0.44,2.3762154784446636,2.0,2.4331050121192876
2,-0.84,2.4686838598735155,2.16,2.5873538606073976
3,-1.32,2.4202479211849353,2.2,2.5690465157330262
4,-1.84,2.3610167301397933,1.36,2.868867372326578
5,-2.12,2.312055362658948,2.2,2.4738633753705974
6,-2.4,2.1166010488516727,2.36,2.3217234977490326
7,-2.56,2.001599360511489,2.56,2.3337523433303713
8,-2.8,1.7888543819998308,2.48,2.483867951401604
9,-3.04,1.3410443691392162,2.28,2.154437281519237
10,-3.32,1.0283968105745955,1.48,2.8791665460684968
11,-3.32,1.0283968105745955,2.36,2.3896443249990154
12,-3.4,0.9999999999999998,1.92,2.62175513730783
13,-3.48,0.9641576634555163,2.2,2.4738633753705965
14,-3.52,0.9431860898041284,2.6,2.2000000000000006
15,-3.52,0.9431860898041284,2.36,2.488051446413438
16,-3.56,0.9199999999999993,1.96,2.637877935007608
