Queries,Success_Probability
0.0,0.02
0.0,0.04
0.0,0.06
0.0,0.08
0.0,0.1
0.0,0.12
1.0,0.14
2.0,0.16
3.0,0.18
3.0,0.2
3.0,0.22
3.0,0.24
4.0,0.26
4.0,0.28
4.0,0.3
5.0,0.32
5.0,0.34
5.0,0.36
5.0,0.38
6.0,0.4
6.0,0.42
6.0,0.44
7.0,0.46
7.0,0.48
9.0,0.5
9.0,0.52
9.0,0.54
10.0,0.56
10.0,0.58
11.0,0.6
11.0,0.62
12.0,0.64
12.0,0.66
13.0,0.68
17.0,0.7
17.0,0.72
17.0,0.74
18.0,0.76
20.0,0.78
29.0,0.8
