Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.95,2.8368115905008557,-0.95,2.8368115905008557
1,-1.69,2.982264240472332,-0.4,3.5284557528754696
2,-2.57,3.0008498796174394,-1.24,3.333526661060325
3,-3.11,3.055797768177732,-1.37,3.3575437450612626
4,-3.65,3.0442568879777516,-1.8,3.659234892706398
5,-4.07,2.916350459049803,-1.56,3.6846166693429603
6,-4.54,2.7565195446432074,-2.04,3.7401069503424615
7,-4.98,2.5786818338057897,-1.76,3.9156608637623345
8,-5.31,2.3987288300264398,-2.45,3.505353049266222
9,-5.59,2.112320998333351,-2.62,3.644941700493988
10,-5.73,2.038896760505541,-2.49,3.5056953661149732
11,-5.8,1.9261360284258238,-2.42,3.3931696096717587
12,-5.95,1.6271140095272993,-2.28,3.497370440774039
13,-6.03,1.4314677781913223,-1.88,3.5178970991204377
14,-6.1,1.3190905958272912,-2.79,3.441787326375643
15,-6.19,1.163572086292895,-1.95,3.6670833096617823
16,-6.21,1.1514773119779669,-2.5,3.277193921634788
17,-6.25,1.1258330249197703,-2.37,3.419517509825035
18,-6.28,1.0637668917577763,-2.44,3.369925815207213
19,-6.38,0.6368673331236266,-2.91,3.473024618398205
20,-6.43,0.40632499307820064,-2.59,3.331951380197496
