Queries,Success_Probability
1.0,0.05
1.0,0.1
1.0,0.15
2.0,0.2
2.0,0.25
8.0,0.3
9.0,0.35
10.0,0.4
11.0,0.45
15.0,0.5
18.0,0.55
28.0,0.6
