Queries,Success_Probability
0.0,0.05
0.0,0.1
0.0,0.15
1.0,0.2
2.0,0.25
3.0,0.3
4.0,0.35
7.0,0.4
12.0,0.45
13.0,0.5
16.0,0.55
18.0,0.6
