Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-1.2,2.8301943396169813,-1.2,2.8301943396169813
1,-2.1,3.32264954516723,-1.4,3.9862262855989496
2,-2.4,3.0805843601498726,-0.9,2.5768197453450252
3,-2.9,2.939387691339814,-1.0,2.7294688127912363
4,-3.0,2.9068883707497264,0.1,2.2
5,-3.0,2.9068883707497264,0.1,2.90516780926679
6,-3.2,3.0675723300355937,-0.9,3.7735924528226414
7,-4.6,2.947880594596735,-2.6,4.182104733265296
8,-4.7,2.85657137141714,-0.2,2.0024984394500787
9,-4.9,2.764054992217051,-0.1,2.107130750570548
10,-5.0,2.5787593916455256,-2.1,3.006659275674582
11,-5.2,2.6095976701399777,-1.5,4.449719092257398
12,-5.2,2.6095976701399777,-0.3,3.944616584663204
13,-5.8,2.1,-1.3,4.1182520563948
14,-6.2,0.9,-1.2,4.050925820105819
15,-6.2,0.9,-1.6,2.5079872407968904
16,-6.5,0.0,-2.2,3.822302970723278
17,-6.5,0.0,-2.5,4.2895221179054435
18,-6.5,0.0,-2.9,3.7735924528226414
19,-6.5,0.0,0.5,2.932575659723036
20,-6.5,0.0,-3.1,3.6660605559646724
